Название вакансии,Название компании,Ссылка на компанию,Ссылка на вакансию,Дата открытия вакансии,Ссылка на логотип,Вилка
Системный архитектор,HR Stars,https://career.habr.com/companies/hrst,https://career.habr.com/vacancies/1000071405,3 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/277/2/logo/medium_58147cbfd4c2536e682db5182847803a.png,До 350 000 ₽
DevOPS Engineer,Coins.ph,https://career.habr.com/companies/coins-ph,https://career.habr.com/vacancies/1000061962,2 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/038/6/logo/medium_33346445a2f936c7b1668f3dc04b4d10.png,от 3 700 до 6 500 $
Golang Team Lead,SberMarket,https://career.habr.com/companies/sbermarket,https://career.habr.com/vacancies/1000067101,2 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/444/6/logo/medium_08766a25ce48ec403132e7091dc391fa.png,от 280 000 до 350 000 ₽
Backend developer Ruby,J'JO,https://career.habr.com/companies/jjo,https://career.habr.com/vacancies/1000071321,2 марта,https://career.habr.com/assets/defaults/companies/logo/medium_default-5550ed3c97f1986d7c1fd74784314cfe.png,До 350 000 ₽
Senior Python Developer in the Network Area,UpTeam Inc.,https://career.habr.com/companies/upteam,https://career.habr.com/vacancies/1000071219,1 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/508/8/logo/medium_8d9087039cd3ff0b1c3353207e5d00d1.png,от 250 000 до 350 000 ₽
Project Manager,BETBY,https://career.habr.com/companies/betby,https://career.habr.com/vacancies/1000069255,1 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/722/0/logo/medium_97bf859f85cdb07d2edcbc928d96e644.png,от 34 200 до 60 000 €
Solidity разработчик в собранную команду,Alucard,https://career.habr.com/companies/969301bd-8f85-4b8f-b5dc-b7ed8616907b,https://career.habr.com/vacancies/1000071189,27 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/275/0/logo/medium_ea8c5b0f7c285506214c1ddaed7c3c1c.png,от 10 000 до 20 000 $
Senior Backend Developer (PHP),American Estate & Trust,https://career.habr.com/companies/1fca1eea-3a76-404f-be9f-29725bda17a1,https://career.habr.com/vacancies/1000070962,26 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/269/3/logo/medium_c5e52c4ed6e11b45ba414d39c5a2cd6e.png,от 4 000 до 5 500 $
Senior Frontend Developer with good spoken English,Volia Software Inc,https://career.habr.com/companies/volia-software-inc,https://career.habr.com/vacancies/1000070969,24 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/197/3/logo/medium_1bb87d41d15fe27b500a4bfcde01bb0e.png,от 3 500 до 5 000 $
Senior Backend Developer with good spoken English,Volia Software Inc,https://career.habr.com/companies/volia-software-inc,https://career.habr.com/vacancies/1000070970,24 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/197/3/logo/medium_1bb87d41d15fe27b500a4bfcde01bb0e.png,от 3 500 до 5 000 $
Senior PHP/Go Developer [remote],Hyprr,https://career.habr.com/companies/hyprr,https://career.habr.com/vacancies/1000068846,24 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/805/8/logo/medium_dc692b77eed5ebdc534d1b05de812bdf.jpg,от 3 500 до 5 000 $
JAVA-разработчик,DATS.TEAM,https://career.habr.com/companies/datteam-url,https://career.habr.com/vacancies/1000043533,24 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/210/948/657/logo/medium_1bb87d41d15fe27b500a4bfcde01bb0e.png,от 200 000 до 350 000 ₽
Senior Golang Developer [remote],Hyprr,https://career.habr.com/companies/hyprr,https://career.habr.com/vacancies/1000070985,24 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/805/8/logo/medium_dc692b77eed5ebdc534d1b05de812bdf.jpg,от 3 500 до 5 000 $
Lead Unity Developer на RPG игру,AngryBangers,https://career.habr.com/companies/d702e5e9-c957-450f-87e8-da150e3bae18,https://career.habr.com/vacancies/1000070782,22 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/206/6/logo/medium_2cb463fb78222ea7be096ee66e1674a0.png,от 250 000 до 450 000 ₽
Team Lead команды разработки (back+web),MyGig,https://career.habr.com/companies/mygig,https://career.habr.com/vacancies/1000070734,20 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/773/9/logo/medium_ca0e1fc7203c862a79383bde6305bfcb.png,от 250 000 до 350 000 ₽
Team Lead Python ,Хорека Технолоджис,https://career.habr.com/companies/hrct,https://career.habr.com/vacancies/1000070838,19 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/258/3/logo/medium_85b449d522788a2d5623f575aa2ef5c9.png,от 180 000 до 350 000 ₽
Senior Java Developer,Диасофт,https://career.habr.com/companies/diasoft,https://career.habr.com/vacancies/1000068706,19 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/887/2/logo/medium_9ee92c748e9947874d808effacf24cd5.jpg,от 200 000 до 350 000 ₽
Cистемный архитектор/System architect,C-Executives LLC,https://career.habr.com/companies/c-ex,https://career.habr.com/vacancies/1000070801,18 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/432/211/139/logo/medium_c74e9cb0a8d79211e6d11ecdc6850c26.png,от 250 000 до 350 000 ₽
IOS/Android Engineer [Mobile team],Coins.ph,https://career.habr.com/companies/coins-ph,https://career.habr.com/vacancies/1000070775,18 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/038/6/logo/medium_33346445a2f936c7b1668f3dc04b4d10.png,от 5 000 до 6 500 $
Senior Backend / Full Stack Developer (Python),MEL Science,https://career.habr.com/companies/melscience-url,https://career.habr.com/vacancies/1000070749,18 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/239/0/logo/medium_f3e5e659ce1ae1c92af64dc2a9c61335.png,от 3 500 до 6 000 $
Senior Python Developer,On The Spot Development,https://career.habr.com/companies/onthespotdev,https://career.habr.com/vacancies/1000070644,17 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/420/7/logo/medium_c5f98f1b5a2b1d5d22ca9c3f30d20325.png,До 5 000 $
Full-Stack JavaScript developer,Luminati,https://career.habr.com/companies/luminati,https://career.habr.com/vacancies/1000028197,16 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/396/5/logo/medium_e5d64bd694d64917476631d8e919c758.png,от 5 500 до 6 500 $
Senior Android Developer,Scalable Solutions,https://career.habr.com/companies/scalablesolutions,https://career.habr.com/vacancies/1000067414,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/137/4/logo/medium_94c58c58e8f48d34f2fab7c800f6b50f.jpg,от 250 000 до 350 000 ₽
Senior C++ Developer,Scalable Solutions,https://career.habr.com/companies/scalablesolutions,https://career.habr.com/vacancies/1000067283,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/137/4/logo/medium_94c58c58e8f48d34f2fab7c800f6b50f.jpg,от 250 000 до 450 000 ₽
Senior Golang Developer,Scalable Solutions,https://career.habr.com/companies/scalablesolutions,https://career.habr.com/vacancies/1000067285,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/137/4/logo/medium_94c58c58e8f48d34f2fab7c800f6b50f.jpg,от 220 000 до 350 000 ₽
"Senior Golang Developer (remote, HQ in USA)",New.HR,https://career.habr.com/companies/newhr,https://career.habr.com/vacancies/1000070498,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/244/7/logo/medium_3bb4b0f76a69a356c0a19a1b78ff655b.png,от 5 500 до 7 000 $
Senior DevOps инженер,Skillhunt,https://career.habr.com/companies/skillhunt,https://career.habr.com/vacancies/1000070461,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/011/5/logo/medium_292cfd240d21b3dd2afadcf44c11c8be.png,от 250 000 до 400 000 ₽
Senior Ruby Developer (remote/relocation),New.HR,https://career.habr.com/companies/newhr,https://career.habr.com/vacancies/1000070457,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/244/7/logo/medium_3bb4b0f76a69a356c0a19a1b78ff655b.png,от 5 000 до 7 000 $
Senior Angular Developer (remote/relocation),New.HR,https://career.habr.com/companies/newhr,https://career.habr.com/vacancies/1000070455,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/244/7/logo/medium_3bb4b0f76a69a356c0a19a1b78ff655b.png,от 5 000 до 7 000 $
Ведущий разработчик / Архитектор Java,New.HR,https://career.habr.com/companies/newhr,https://career.habr.com/vacancies/1000070443,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/244/7/logo/medium_3bb4b0f76a69a356c0a19a1b78ff655b.png,от 230 000 до 350 000 ₽
Senior Software Engineer (Go/Ruby),New.HR,https://career.habr.com/companies/newhr,https://career.habr.com/vacancies/1000070448,15 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/004/244/7/logo/medium_3bb4b0f76a69a356c0a19a1b78ff655b.png,До 350 000 ₽
Team Lead Java,Цифровые сервисы,https://career.habr.com/companies/digital-services,https://career.habr.com/vacancies/1000068873,10 февраля,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/187/1/logo/medium_e458577664ef81cecba3a2284d921e89.jpg,от 300 000 до 350 000 ₽
